time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
5.479050,0.151480602804,-0.0414174812729,-0.727873883852,0.75471854764,1.8112478153,-0.372757331456,-0.69259232573,31.5789470673,-0.959888478019,-0.0697961258488,-0.0226262166213,1.57386428837,-0.0371990341062,0.0954903040459,0.0161067982728,0.0
5.479162,0.151480602804,-0.0414174812729,-0.727873883852,0.75471854764,1.8112478153,-0.372757331456,-0.69259232573,31.5789470673,-0.959888478019,-0.0697961258488,-0.0226262166213,1.57386428837,-0.0371990341062,0.0954903040459,0.0161067982728,0.0
5.489217,0.146111670046,-0.039883500485,-0.724422427079,0.750116605276,1.81201480569,-0.372757331456,-0.692208830533,31.5789470673,-0.958354497231,-0.0701796210458,-0.0226262166213,1.57424778357,-0.0379660245002,0.0958737992428,0.0164902934698,0.0
5.499228,0.142660213273,-0.0383495196971,-0.722121455897,0.745898158109,1.81239830089,-0.371990341062,-0.691058344942,31.5789470673,-0.958737992428,-0.0690291354548,-0.0222427214243,1.57424778357,-0.0379660245002,0.0962572944398,0.0164902934698,0.0
5.509266,0.138441766107,-0.0368155389092,-0.720587475109,0.74206320614,1.81201480569,-0.372373836259,-0.691058344942,31.5789470673,-0.959121487625,-0.0697961258488,-0.0222427214243,1.57386428837,-0.0371990341062,0.0970242848338,0.0164902934698,0.0
5.519240,0.133839823743,-0.0356650533183,-0.717136018336,0.737844758973,1.81163131049,-0.372373836259,-0.692208830533,31.5789470673,-0.959888478019,-0.0690291354548,-0.0226262166213,1.57501477396,-0.0368155389092,0.0966407896368,0.0164902934698,0.0
5.529269,0.129237881379,-0.0337475773335,-0.714451551958,0.734009807003,1.81163131049,-0.371990341062,-0.691825335336,31.5789470673,-0.958354497231,-0.0701796210458,-0.0230097118183,1.57463127876,-0.0368155389092,0.0966407896368,0.0164902934698,0.0
5.539282,0.125019434213,-0.0325970917426,-0.711767085579,0.729791359836,1.81201480569,-0.372757331456,-0.690674849745,31.5789470673,-0.959504982822,-0.0694126306518,-0.0218592262274,1.57463127876,-0.0383495196971,0.0962572944398,0.0157233030758,0.0
5.549280,0.12156797744,-0.0306796157577,-0.709466114397,0.72557291267,1.81239830089,-0.372757331456,-0.690291354548,31.5789470673,-0.959888478019,-0.0701796210458,-0.0226262166213,1.57424778357,-0.0375825293032,0.0962572944398,0.0164902934698,0.0
5.559261,0.11773302547,-0.0295291301668,-0.707165143215,0.722121455897,1.81201480569,-0.371990341062,-0.689907859351,31.5789470673,-0.959888478019,-0.0697961258488,-0.0218592262274,1.57424778357,-0.0375825293032,0.0962572944398,0.0161067982728,0.0
5.569268,0.114281568697,-0.0279951493789,-0.704864172033,0.719053494321,1.81239830089,-0.373140826653,-0.689140868958,31.5789470673,-0.959121487625,-0.0709466114397,-0.0230097118183,1.57463127876,-0.0379660245002,0.0970242848338,0.0164902934698,0.0
5.579290,0.110830111925,-0.026461168591,-0.702563200852,0.715218542352,1.81316529128,-0.372373836259,-0.68760688817,31.5789470673,-0.959121487625,-0.0697961258488,-0.0230097118183,1.57348079317,-0.0371990341062,0.0958737992428,0.0161067982728,0.0
5.589287,0.107762150349,-0.0249271878031,-0.70026222967,0.712150580776,1.81278179608,-0.372373836259,-0.686839897776,31.5789470673,-0.960271973216,-0.0697961258488,-0.0222427214243,1.57424778357,-0.0375825293032,0.0962572944398,0.0161067982728,0.0
5.599308,0.103543703182,-0.0241601974092,-0.698344753685,0.7090826192,1.81278179608,-0.372373836259,-0.687223392973,31.5789470673,-0.959504982822,-0.0694126306518,-0.0226262166213,1.57463127876,-0.0368155389092,0.0962572944398,0.0164902934698,0.0
